filename,brand,gender,description,collection_guess,sku_guess,confidence,notes
IMG_7709.webp,Casio G-Shock,Mens,Square black resin case; blue metallic bezel ring; Tough Solar + Bluetooth; digital display,Origin 5600,GW-B5600-2,high,
IMG_7710.webp,Casio G-Shock,Mens,All black square resin; Tough Solar; WATER 20BAR RESIST; classic digital display,Origin 5600,G-5600UE-1,high,
IMG_7711.webp,Casio G-Shock,Mens,Transparent skeleton resin case and strap; silver ana-digi dial; WR20BAR,GA-700 Skeleton,GA-700SK-1A,high,
IMG_7712.webp,Casio G-Shock,Mens,All matte black octagonal carbon core case; ana-digi; WR20BAR - the CasiOak,GA-2100,GA-2100-1A1,high,
IMG_7713.webp,Casio G-Shock,Mens,Black resin round case; full digital negative display; 10 Year Battery; WR 20BAR,GD-010,GD-010-1A,high,
IMG_7745.webp,Emporio Armani,Womens,Steel T-bar case; white mother-of-pearl dial with Roman numerals and inner crystal ring; steel bracelet,Gianni T-Bar,AR1908,high,
IMG_7746.webp,Emporio Armani,Womens,Rose gold-tone; navy dial with horizontal white stripe pattern; rose gold link bracelet,Arianna / Frida,AR11220,medium,
IMG_7747.webp,Emporio Armani,Womens,Rose gold-tone T-bar case; dark grey/peacock mother-of-pearl dial with Roman numerals; rose gold bracelet,Gianni T-Bar,AR11245,medium,
IMG_7748.webp,Emporio Armani,Womens,Rose gold-tone; smaller case; purple-grey mother-of-pearl dial with Roman numerals; rose gold bracelet,Gianni T-Bar,AR11011,low,
IMG_7749.webp,Emporio Armani,Womens,Rose gold-tone with full pave crystal bezel; white mother-of-pearl dial with Roman numerals; beaded rose gold bracelet,Rosa,AR11355,medium,
IMG_7750.webp,Emporio Armani,Mens,Rose gold-tone automatic; white dial with open-heart skeleton centre; MECCANICO; black croc leather strap,Meccanico,AR60031,medium,
IMG_7751.webp,Emporio Armani,Mens,Steel case; blue sunray dial with small seconds at 6; navy leather strap,Aviator / Luigi,AR11145,low,
IMG_7752.webp,Armani Exchange,Mens,All blue case and silicone strap; blue chronograph dial with three subdials and date,AX Outerbanks,AX1327,high,
IMG_7753.webp,Emporio Armani,Mens,Rose gold-tone automatic; silver dial with skeletonised eagle logo showing movement; MECCANICO; black leather strap,Meccanico,AR1924,medium,
IMG_7754.webp,Armani Exchange,Mens,Steel case with black tachymeter bezel; white dial with three black subdials; black leather strap with red stitching,AX Drexler,AX1611,high,
IMG_7755.webp,Emporio Armani,Mens,Rose gold-tone slim case; white dial with rose gold Roman numerals; dark brown leather strap,Kappa,AR11011,medium,
IMG_7756.webp,Seiko,Mens,Steel case and bracelet; clean white dial with applied markers; date at 3,Essentials 3-hand,SUR307P1,medium,List says SSB307P1 but SSB = chronograph; this is the 3-hand SUR307P1
IMG_7757.webp,Seiko,Mens,Steel case and bracelet; black dial with day+date at 3; AUTOMATIC 21 JEWELS; large Arabic numerals,Seiko 5,SNKE63J1,high,List reads SLKE 63J1 - almost certainly SNKE63J1
IMG_7758.webp,Seiko,Mens,Steel chronograph; white dial with blue-ringed subdials and blue markers; tachymeter bezel; 100M,Chronograph,SSB239P1,medium,
IMG_7759.webp,Seiko,Mens,Steel chronograph; black textured dial with blue accents and hour subdial; steel tachymeter bezel; 100M,Chronograph,SSB257P1,medium,
